IBOV;Ibovespa;Índice Bovespa
IBXX;IBrX 100;Índice Brasil 100
IBXL;IBrX 50;Índice Brasil 50
IBRA;IBrA;Índice Brasil Amplo BM&FBOVESPA
IFNC;IFNC;Índice BM&FBOVESPA Financeiro
BDRX;BDRX;Índice de BDRs Não Patrocinados-GLOBAL
;ICB;Índice de Commodities Brasil
ICON;ICON;Índice de Consumo
IEEX;IEE;Índice de Energia Elétrica
IFIX;IFIX;Índice de Fundos de Investimentos Imobiliários
IMAT;IMAT;Índice de Materiais Básicos BM&FBOVESPA
DI;DI;Índice DI
IDIV;IDIV;Índice Dividendos BM&FBOVESPA
INDX;INDX;Índice do Setor Industrial
;IGMI-C;Índice Geral do Mercado Imobiliário - Comercial
IMOB;IMOB;Índice Imobiliário
MLCX;MLCX;Índice MidLarge Cap
SMLL;SMLL;Índice Small Cap
UTIL;UTIL;Índice Utilidade Pública BM&FBOVESPA
IVBX;IVBX 2;Índice Valor BM&FBOVESPA
IGCX;IGC;Índice de Ações com Governança Corporativa Diferenciada
ITAG;ITAG;Índice de Ações com Tag Along Diferenciado
IGCT;IGCT;Índice de Governança Corporativa Trade
IGNM;IGC-NM;Índice de Governança Corporativa – Novo Mercado
ICO2;ICO2;Índice Carbono Eficiente
ISEE;ISE;Índice de Sustentabilidade Empresarial
