Vencimento;15/05/2045;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
02/01/2019;4.95%;5.07%;886.56;860.33;860.13
03/01/2019;4.95%;5.07%;886.76;860.53;860.33
04/01/2019;4.98%;5.10%;880.38;854.34;854.09
07/01/2019;4.85%;4.97%;909.71;882.78;882.58
08/01/2019;4.80%;4.92%;921.38;894.10;893.90
09/01/2019;4.79%;4.91%;923.90;896.54;896.34
10/01/2019;4.73%;4.85%;938.10;910.31;910.11
11/01/2019;4.65%;4.77%;957.84;929.45;929.15
14/01/2019;4.71%;4.83%;943.75;915.80;915.59
15/01/2019;4.59%;4.71%;972.89;944.05;943.75
16/01/2019;4.62%;4.74%;965.89;937.27;936.98
17/01/2019;4.64%;4.76%;961.36;932.88;932.59
18/01/2019;4.59%;4.71%;974.04;945.18;944.64
21/01/2019;4.62%;4.74%;967.04;938.39;938.10
22/01/2019;4.57%;4.69%;979.54;950.51;950.22
23/01/2019;4.61%;4.73%;970.06;941.33;941.04
24/01/2019;4.56%;4.68%;983.11;953.99;953.17
25/01/2019;4.59%;4.71%;975.75;946.85;946.32
28/01/2019;4.58%;4.70%;978.49;949.52;949.23
29/01/2019;4.56%;4.68%;983.71;954.58;954.28
30/01/2019;4.54%;4.66%;988.95;959.67;959.37
31/01/2019;4.46%;4.58%;1,009.29;979.38;979.08
01/02/2019;4.46%;4.58%;1,009.84;979.92;979.38
04/02/2019;4.42%;4.54%;1,020.33;990.09;989.80
05/02/2019;4.43%;4.55%;1,018.08;987.92;987.62
06/02/2019;4.51%;4.63%;998.17;968.62;968.32
07/02/2019;4.52%;4.64%;995.97;966.49;966.20
08/02/2019;4.55%;4.67%;988.46;959.22;958.75
11/02/2019;4.59%;4.71%;978.89;949.95;949.68
12/02/2019;4.59%;4.71%;979.16;950.22;949.95
13/02/2019;4.53%;4.65%;994.25;964.85;964.58
14/02/2019;4.51%;4.63%;999.52;969.96;969.69
15/02/2019;4.45%;4.57%;1,015.19;985.16;984.63
18/02/2019;4.45%;4.57%;1,015.49;985.45;985.16
19/02/2019;4.40%;4.52%;1,028.59;998.15;997.86
20/02/2019;4.40%;4.52%;1,028.89;998.45;998.15
21/02/2019;4.49%;4.61%;1,006.27;976.52;976.23
22/02/2019;4.48%;4.60%;1,009.33;979.50;978.97
25/02/2019;4.45%;4.57%;1,017.23;987.16;986.87
26/02/2019;4.51%;4.63%;1,002.38;972.77;972.48
27/02/2019;4.50%;4.62%;1,005.19;975.49;975.20
28/02/2019;4.46%;4.58%;1,015.59;985.58;985.29
01/03/2019;4.46%;4.58%;1,016.38;986.36;985.58
06/03/2019;4.49%;4.61%;1,009.08;979.29;979.00
07/03/2019;4.43%;4.55%;1,024.63;994.37;994.07
08/03/2019;4.42%;4.54%;1,027.75;997.39;996.85
11/03/2019;4.35%;4.47%;1,046.20;1,015.28;1,014.98
12/03/2019;4.35%;4.47%;1,047.37;1,016.43;1,016.10
13/03/2019;4.32%;4.44%;1,055.60;1,024.41;1,024.07
14/03/2019;4.38%;4.50%;1,040.22;1,009.50;1,009.17
15/03/2019;4.38%;4.50%;1,040.87;1,010.14;1,009.50
18/03/2019;4.31%;4.43%;1,059.58;1,028.28;1,027.95
19/03/2019;4.28%;4.40%;1,067.90;1,036.35;1,036.01
20/03/2019;4.30%;4.42%;1,062.91;1,031.52;1,031.18
