Vencimento;17/03/2010;;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00;PU Extrato 9:00
03/01/2005;;;;;
04/01/2005;;;;;
05/01/2005;;;;;
06/01/2005;;;;;
07/01/2005;;;;;
10/01/2005;;;;;
11/01/2005;;;;;
12/01/2005;;;;;
13/01/2005;;;;;
14/01/2005;;;;;
17/01/2005;;;;;
18/01/2005;;;;;
19/01/2005;;;;;
20/01/2005;;;;;
21/01/2005;;;;;
24/01/2005;;;;;
25/01/2005;;;;;
26/01/2005;;;;;
27/01/2005;;;;;
28/01/2005;;;;;
31/01/2005;;;;;
01/02/2005;;;;;
02/02/2005;;;;;
03/02/2005;;;;;
04/02/2005;;;;;
09/02/2005;;;;;
10/02/2005;;;;;
11/02/2005;;;;;
14/02/2005;;;;;
15/02/2005;;;;;
16/02/2005;;;;;
17/02/2005;;;;;
18/02/2005;;;;;
21/02/2005;;;;;
22/02/2005;;;;;
23/02/2005;;;;;
24/02/2005;;;;;
25/02/2005;;;;;
28/02/2005;;;;;
01/03/2005;;;;;
02/03/2005;;;;;
03/03/2005;;;;;
04/03/2005;;;;;
07/03/2005;;;;;
08/03/2005;;;;;
09/03/2005;;;;;
10/03/2005;;;;;
11/03/2005;;;;;
14/03/2005;;;;;
15/03/2005;;;;;
16/03/2005;;;;;
17/03/2005;;;;;
18/03/2005;;;;;
21/03/2005;;;;;
22/03/2005;;;;;
23/03/2005;;;;;
24/03/2005;;;;;
28/03/2005;;;;;
29/03/2005;;;;;
30/03/2005;;;;;
31/03/2005;;;;;
01/04/2005;;;;;
04/04/2005;;;;;
05/04/2005;;;;;
06/04/2005;;;;;
07/04/2005;;;;;
08/04/2005;;;;;
11/04/2005;;;;;
12/04/2005;;;;;
13/04/2005;;;;;
14/04/2005;;;;;
15/04/2005;;;;;
18/04/2005;;;;;
19/04/2005;;;;;
20/04/2005;;;;;
22/04/2005;;;;;
25/04/2005;;;;;
26/04/2005;;;;;
27/04/2005;;;;;
28/04/2005;;;;;
29/04/2005;;;;;
02/05/2005;;;;;
03/05/2005;;;;;
04/05/2005;;;;;
05/05/2005;;;;;
06/05/2005;;;;;
09/05/2005;;;;;
10/05/2005;;;;;
11/05/2005;;;;;
12/05/2005;;;;;
13/05/2005;;;;;
16/05/2005;;;;;
17/05/2005;;;;;
18/05/2005;;;;;
19/05/2005;;;;;
20/05/2005;;;;;
23/05/2005;;;;;
24/05/2005;;;;;
25/05/2005;;;;;
27/05/2005;;;;;
30/05/2005;;;;;
31/05/2005;;;;;
01/06/2005;;;;;
02/06/2005;;;;;
03/06/2005;;;;;
06/06/2005;;;;;
07/06/2005;;;;;
08/06/2005;;;;;
09/06/2005;;;;;
10/06/2005;;;;;
13/06/2005;;;;;
14/06/2005;;;;;
15/06/2005;;;;;
16/06/2005;;;;;
17/06/2005;;;;;
20/06/2005;;;;;
21/06/2005;;;;;
22/06/2005;;;;;
23/06/2005;;;;;
24/06/2005;;;;;
27/06/2005;;;;;
28/06/2005;;;;;
29/06/2005;;;;;
30/06/2005;;;;;
01/07/2005;;;;;
04/07/2005;;;;;
05/07/2005;;;;;
06/07/2005;;;;;
07/07/2005;;;;;
08/07/2005;;;;;
11/07/2005;;;;;
12/07/2005;;;;;
13/07/2005;;;;;
14/07/2005;;;;;
15/07/2005;;;;;
18/07/2005;;;;;
19/07/2005;;;;;
20/07/2005;;;;;
21/07/2005;;;;;
22/07/2005;;;;;
25/07/2005;;;;;
26/07/2005;;;;;
27/07/2005;;;;;
28/07/2005;;;;;
29/07/2005;;;;;
01/08/2005;;;;;
02/08/2005;;;;;
03/08/2005;;;;;
04/08/2005;;;;;
05/08/2005;;;;;
08/08/2005;;;;;
09/08/2005;;;;;
10/08/2005;;;;;
11/08/2005;;;;;
12/08/2005;;;;;
15/08/2005;;;;;
16/08/2005;;;;;
17/08/2005;;;;;
18/08/2005;;;;;
19/08/2005;;;;;
22/08/2005;;;;;
23/08/2005;;;;;
24/08/2005;;;;;
25/08/2005;;;;;
26/08/2005;;;;;
29/08/2005;;;;;
30/08/2005;;;;;
31/08/2005;;;;;
01/09/2005;;;;;
02/09/2005;;;;;
05/09/2005;;;;;
06/09/2005;;;;;
08/09/2005;;;;;
09/09/2005;;;;;
12/09/2005;;;;;
13/09/2005;;;;;
14/09/2005;;;;;
15/09/2005;;;;;
16/09/2005;;;;;
19/09/2005;;;;;
20/09/2005;;;;;
21/09/2005;;;;;
22/09/2005;;;;;
23/09/2005;;;;;
26/09/2005;;;;;
27/09/2005;;;;;
28/09/2005;;;;;
29/09/2005;;;;;
30/09/2005;;;;;
03/10/2005;;;;;
04/10/2005;;;;;
05/10/2005;;;;;
06/10/2005;;;;;
07/10/2005;;;;;
10/10/2005;;;;;
11/10/2005;;;;;
13/10/2005;;;;;
14/10/2005;;;;;
17/10/2005;;;;;
18/10/2005;;;;;
19/10/2005;;;;;
20/10/2005;;;;;
21/10/2005;;;;;
24/10/2005;;;;;
25/10/2005;;;;;
26/10/2005;;;;;
27/10/2005;;;;;
28/10/2005;;;;;
31/10/2005;;;;;
01/11/2005;;;;;
03/11/2005;;;;;
04/11/2005;;;;;
07/11/2005;;;;;
08/11/2005;;;;;
09/11/2005;;;;;
10/11/2005;;;;;
11/11/2005;;;;;
14/11/2005;;;;;
16/11/2005;0,41%;0,45%;2.476,17;2.471,93;2.470,18
17/11/2005;0,41%;0,45%;2.477,92;2.473,68;2.471,93
18/11/2005;0,41%;0,45%;2.479,67;2.475,43;2.473,68
21/11/2005;0,40%;0,44%;2.482,49;2.478,24;2.476,49
22/11/2005;0,40%;0,44%;2.484,24;2.480,00;2.478,24
23/11/2005;0,40%;0,44%;2.485,99;2.481,75;2.480,00
24/11/2005;0,40%;0,44%;2.487,70;2.483,46;2.481,75
25/11/2005;0,40%;0,44%;2.489,42;2.485,18;2.483,46
28/11/2005;0,39%;0,43%;2.492,19;2.487,95;2.486,23
29/11/2005;0,38%;0,42%;2.494,97;2.490,73;2.489,01
30/11/2005;0,37%;0,41%;2.497,75;2.493,51;2.491,79
01/12/2005;0,36%;0,40%;2.500,53;2.496,29;2.494,57
02/12/2005;0,35%;0,39%;2.503,32;2.499,07;2.497,35
05/12/2005;0,32%;0,36%;2.508,22;2.503,98;2.502,25
06/12/2005;0,30%;0,34%;2.512,07;2.507,82;2.506,10
07/12/2005;0,28%;0,32%;2.515,92;2.511,67;2.509,95
08/12/2005;0,28%;0,32%;2.517,65;2.513,39;2.511,67
09/12/2005;0,27%;0,31%;2.520,43;2.516,18;2.514,45
12/12/2005;0,25%;0,29%;2.524,29;2.520,03;2.518,30
13/12/2005;0,24%;0,28%;2.527,08;2.522,82;2.521,09
14/12/2005;0,24%;0,28%;2.528,80;2.524,54;2.522,82
15/12/2005;0,23%;0,27%;2.531,55;2.527,29;2.525,61
16/12/2005;0,23%;0,27%;2.533,24;2.528,98;2.527,29
19/12/2005;0,22%;0,26%;2.536,00;2.531,74;2.530,05
20/12/2005;0,22%;0,26%;2.537,69;2.533,43;2.531,74
21/12/2005;0,22%;0,26%;2.539,38;2.535,12;2.533,43
22/12/2005;0,20%;0,24%;2.543,21;2.538,94;2.537,25
23/12/2005;0,19%;0,23%;2.545,97;2.541,71;2.540,02
26/12/2005;0,19%;0,23%;2.547,66;2.543,40;2.541,71
27/12/2005;0,19%;0,23%;2.549,36;2.545,10;2.543,41
28/12/2005;0,18%;0,22%;2.552,13;2.547,86;2.546,17
29/12/2005;0,17%;0,21%;2.554,91;2.550,65;2.548,93
30/12/2005;0,17%;0,21%;2.554,91;2.550,65;2.548,95
