Vencimento;1/17/2007;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00
1/2/2002;;;;
1/3/2002;;;;
1/4/2002;;;;
1/7/2002;0.37%;0.43%;1,245.90;1,242.17
1/8/2002;0.37%;0.43%;1,246.78;1,243.05
1/9/2002;0.37%;0.43%;1,247.66;1,243.93
1/10/2002;0.37%;0.43%;1,248.55;1,244.82
1/11/2002;0.37%;0.43%;1,249.43;1,245.70
1/14/2002;0.37%;0.43%;1,250.31;1,246.58
1/15/2002;0.37%;0.43%;1,251.20;1,247.47
1/16/2002;0.37%;0.43%;1,252.08;1,248.35
1/17/2002;0.37%;0.43%;1,252.97;1,249.24
1/18/2002;0.37%;0.43%;1,253.85;1,250.12
1/21/2002;0.37%;0.43%;1,254.74;1,251.01
1/22/2002;0.37%;0.43%;1,255.62;1,251.90
1/23/2002;0.37%;0.43%;1,256.51;1,252.78
1/24/2002;0.37%;0.43%;1,257.40;1,253.67
1/25/2002;0.37%;0.43%;1,258.29;1,254.56
1/28/2002;0.37%;0.43%;1,259.18;1,255.45
1/29/2002;0.37%;0.43%;1,260.07;1,256.34
1/30/2002;0.37%;0.43%;1,260.96;1,257.23
1/31/2002;0.37%;0.43%;1,261.85;1,258.13
2/1/2002;0.37%;0.43%;1,262.74;1,259.02
2/4/2002;0.37%;0.43%;1,263.64;1,259.91
2/5/2002;0.38%;0.44%;1,263.91;1,260.18
2/6/2002;0.38%;0.44%;1,264.80;1,261.08
2/7/2002;0.39%;0.45%;1,265.07;1,261.35
2/8/2002;0.40%;0.46%;1,265.35;1,261.63
2/13/2002;0.40%;0.46%;1,266.24;1,262.53
2/14/2002;0.40%;0.46%;1,267.14;1,263.42
2/15/2002;0.39%;0.45%;1,268.66;1,264.94
2/18/2002;0.39%;0.45%;1,269.56;1,265.84
2/19/2002;0.39%;0.45%;1,270.45;1,266.74
2/20/2002;0.40%;0.46%;1,270.73;1,267.02
2/21/2002;0.41%;0.47%;1,271.00;1,267.29
2/22/2002;0.42%;0.48%;1,271.27;1,267.56
2/25/2002;0.43%;0.49%;1,271.54;1,267.84
2/26/2002;0.43%;0.49%;1,272.44;1,268.73
2/27/2002;0.43%;0.49%;1,273.33;1,269.62
2/28/2002;0.43%;0.49%;1,274.22;1,270.51
3/1/2002;0.43%;0.49%;1,275.11;1,271.41
3/4/2002;0.45%;0.51%;1,274.77;1,271.07
3/5/2002;0.44%;0.50%;1,276.28;1,272.58
3/6/2002;0.47%;0.53%;1,275.33;1,271.63
3/7/2002;0.46%;0.52%;1,276.84;1,273.14
3/8/2002;0.47%;0.53%;1,277.12;1,273.42
3/11/2002;0.47%;0.53%;1,278.01;1,274.32
3/12/2002;0.47%;0.53%;1,278.91;1,275.22
3/13/2002;0.47%;0.53%;1,279.81;1,276.12
3/14/2002;0.47%;0.53%;1,280.71;1,277.02
3/15/2002;0.46%;0.52%;1,282.23;1,278.53
3/18/2002;0.46%;0.52%;1,283.13;1,279.43
3/19/2002;0.47%;0.53%;1,283.41;1,279.72
3/20/2002;0.47%;0.53%;1,284.31;1,280.62
3/21/2002;0.47%;0.53%;1,285.20;1,281.51
3/22/2002;0.45%;0.51%;1,287.33;1,283.63
3/25/2002;0.45%;0.51%;1,288.22;1,284.53
3/26/2002;0.46%;0.52%;1,288.50;1,284.80
3/27/2002;0.45%;0.51%;1,290.01;1,286.31
3/28/2002;0.46%;0.52%;1,290.28;1,286.59
4/1/2002;0.45%;0.51%;1,291.79;1,288.10
4/2/2002;0.44%;0.50%;1,293.30;1,289.61
4/3/2002;0.44%;0.50%;1,294.19;1,290.50
4/4/2002;0.43%;0.49%;1,295.70;1,292.00
4/5/2002;0.46%;0.52%;1,294.74;1,291.05
4/8/2002;0.47%;0.53%;1,295.02;1,291.33
4/9/2002;0.57%;0.63%;1,289.78;1,286.11
4/10/2002;0.63%;0.69%;1,287.01;1,283.35
4/11/2002;0.62%;0.68%;1,288.51;1,284.86
4/12/2002;0.62%;0.68%;1,289.41;1,285.75
4/15/2002;0.62%;0.68%;1,290.30;1,286.65
4/16/2002;0.62%;0.68%;1,291.20;1,287.55
4/17/2002;0.62%;0.68%;1,292.10;1,288.45
4/18/2002;0.62%;0.68%;1,292.99;1,289.35
4/19/2002;0.62%;0.68%;1,293.89;1,290.24
4/22/2002;0.62%;0.68%;1,294.79;1,291.14
4/23/2002;0.62%;0.68%;1,295.69;1,292.04
4/24/2002;0.62%;0.68%;1,296.59;1,292.94
4/25/2002;0.62%;0.68%;1,297.49;1,293.84
4/26/2002;0.62%;0.68%;1,298.39;1,294.74
4/29/2002;0.62%;0.68%;1,299.29;1,295.64
4/30/2002;0.64%;0.70%;1,298.97;1,295.33
5/2/2002;0.70%;0.76%;1,296.22;1,292.59
5/3/2002;0.80%;0.86%;1,291.08;1,287.48
5/6/2002;0.88%;0.94%;1,287.18;1,283.59
5/7/2002;0.89%;0.95%;1,287.49;1,283.90
5/8/2002;0.75%;0.81%;1,296.81;1,293.19
5/9/2002;0.84%;0.90%;1,292.29;1,288.69
5/10/2002;0.83%;0.89%;1,293.80;1,290.20
5/13/2002;0.83%;0.89%;1,294.71;1,291.11
5/14/2002;0.95%;1.01%;1,288.43;1,284.86
