Vencimento;1/17/2007;;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00;PU Extrato 9:00
1/2/2003;1.92%;1.98%;1,398.40;1,395.08;
1/3/2003;1.92%;1.98%;1,399.73;1,396.42;
1/6/2003;1.92%;1.98%;1,401.08;1,397.77;
1/7/2003;1.92%;1.98%;1,402.42;1,399.11;
1/8/2003;1.89%;1.95%;1,405.42;1,402.11;
1/9/2003;1.89%;1.95%;1,406.77;1,403.45;
1/10/2003;1.85%;1.91%;1,410.33;1,407.01;
1/13/2003;1.84%;1.90%;1,412.23;1,408.91;
1/14/2003;1.83%;1.89%;1,414.14;1,410.81;
1/15/2003;1.83%;1.89%;1,415.49;1,412.16;
1/16/2003;1.82%;1.88%;1,417.39;1,414.07;
1/17/2003;1.82%;1.88%;1,418.74;1,415.42;
1/20/2003;1.82%;1.88%;1,420.10;1,416.77;
1/21/2003;1.82%;1.88%;1,421.45;1,418.13;
1/22/2003;1.82%;1.88%;1,422.81;1,419.49;
1/23/2003;1.82%;1.88%;1,424.19;1,420.86;
1/24/2003;1.82%;1.88%;1,425.57;1,422.25;
1/27/2003;1.81%;1.89%;1,427.51;1,423.08;
1/28/2003;1.81%;1.89%;1,428.90;1,424.46;
1/29/2003;1.81%;1.89%;1,430.28;1,425.85;
1/30/2003;1.81%;1.89%;1,431.67;1,427.24;
1/31/2003;1.81%;1.89%;1,433.06;1,428.62;
2/3/2003;1.81%;1.89%;1,434.44;1,430.01;
2/4/2003;1.81%;1.89%;1,435.83;1,431.40;
2/5/2003;1.80%;1.88%;1,437.78;1,433.35;
2/6/2003;1.80%;1.88%;1,439.18;1,434.74;
2/7/2003;1.80%;1.88%;1,440.57;1,436.14;
2/10/2003;1.79%;1.87%;1,442.52;1,438.08;
2/11/2003;1.79%;1.87%;1,443.92;1,439.48;
2/12/2003;1.79%;1.87%;1,445.31;1,440.88;
2/13/2003;1.79%;1.87%;1,446.71;1,442.28;
2/14/2003;1.79%;1.87%;1,448.11;1,443.68;
2/17/2003;1.79%;1.87%;1,449.51;1,445.07;
2/18/2003;1.79%;1.87%;1,450.91;1,446.48;
2/19/2003;1.79%;1.87%;1,452.31;1,447.88;
2/20/2003;1.78%;1.86%;1,454.32;1,449.88;
2/21/2003;1.78%;1.86%;1,455.76;1,451.33;
2/24/2003;1.78%;1.86%;1,457.22;1,452.78;
2/25/2003;1.78%;1.86%;1,458.67;1,454.23;
2/26/2003;1.78%;1.86%;1,460.12;1,455.69;
2/27/2003;1.78%;1.86%;1,461.58;1,457.14;
2/28/2003;1.78%;1.86%;1,463.03;1,458.60;
3/5/2003;1.78%;1.86%;1,464.60;1,460.16;1,458.70
3/6/2003;1.78%;1.86%;1,465.95;1,461.52;1,459.94
3/7/2003;1.78%;1.86%;1,467.41;1,462.98;1,461.51
3/10/2003;1.77%;1.85%;1,469.43;1,464.99;1,463.52
3/11/2003;1.77%;1.85%;1,470.90;1,466.46;1,464.99
3/12/2003;1.77%;1.85%;1,472.36;1,467.92;1,466.45
3/13/2003;1.77%;1.85%;1,473.83;1,469.39;1,467.92
3/14/2003;1.77%;1.85%;1,475.30;1,470.86;1,469.38
3/17/2003;1.76%;1.84%;1,477.33;1,472.89;1,471.41
3/18/2003;1.76%;1.84%;1,478.80;1,474.36;1,472.88
3/19/2003;1.76%;1.84%;1,480.27;1,475.83;1,474.35
3/20/2003;1.76%;1.84%;1,481.75;1,477.31;1,475.83
3/21/2003;1.76%;1.84%;1,483.23;1,478.79;1,477.30
3/24/2003;1.76%;1.84%;1,484.71;1,480.27;1,478.78
3/25/2003;1.75%;1.83%;1,486.74;1,482.30;1,480.82
3/26/2003;1.75%;1.83%;1,488.23;1,483.79;1,482.30
3/27/2003;1.74%;1.82%;1,490.27;1,485.82;1,484.33
3/28/2003;1.74%;1.82%;1,491.75;1,487.31;1,485.82
3/31/2003;1.74%;1.82%;1,493.24;1,488.80;1,487.30
4/1/2003;1.74%;1.82%;1,494.72;1,490.28;1,488.79
4/2/2003;1.71%;1.79%;1,497.88;1,493.44;1,491.94
4/3/2003;1.68%;1.76%;1,501.05;1,496.59;1,495.09
4/4/2003;1.67%;1.75%;1,503.09;1,498.64;1,497.14
4/7/2003;1.67%;1.75%;1,504.59;1,500.13;1,498.63
4/8/2003;1.66%;1.74%;1,506.64;1,502.18;1,500.68
4/9/2003;1.56%;1.64%;1,513.73;1,509.25;1,507.75
4/10/2003;1.55%;1.63%;1,515.79;1,511.31;1,509.80
4/11/2003;1.54%;1.62%;1,517.85;1,513.37;1,511.86
4/14/2003;1.52%;1.60%;1,520.47;1,515.98;1,514.48
4/15/2003;1.50%;1.58%;1,523.10;1,518.61;1,517.10
4/16/2003;1.50%;1.58%;1,524.60;1,520.11;1,518.60
4/17/2003;1.51%;1.59%;1,525.54;1,521.05;1,519.54
4/22/2003;1.51%;1.59%;1,527.05;1,522.56;1,521.05
4/23/2003;1.48%;1.56%;1,530.24;1,525.75;1,524.23
4/24/2003;1.47%;1.55%;1,532.31;1,527.82;1,526.30
4/25/2003;1.45%;1.53%;1,534.95;1,530.45;1,528.93
4/28/2003;1.45%;1.53%;1,536.46;1,531.96;1,530.44
4/29/2003;1.45%;1.53%;1,537.97;1,533.48;1,531.95
4/30/2003;1.43%;1.51%;1,540.61;1,536.11;1,534.59
5/2/2003;1.42%;1.50%;1,542.69;1,538.19;1,536.67
5/5/2003;1.41%;1.49%;1,544.77;1,540.27;1,538.75
5/6/2003;1.41%;1.49%;1,546.29;1,541.79;1,540.26
5/7/2003;1.40%;1.48%;1,548.38;1,543.87;1,542.34
5/8/2003;1.41%;1.49%;1,549.34;1,544.83;1,543.30
5/9/2003;1.40%;1.48%;1,551.42;1,546.92;1,545.39
5/12/2003;1.40%;1.48%;1,552.95;1,548.44;1,546.91
5/13/2003;1.39%;1.47%;1,555.04;1,550.53;1,549.00
5/14/2003;1.39%;1.47%;1,556.57;1,552.06;1,550.53
5/15/2003;1.38%;1.46%;1,558.66;1,554.15;1,552.62
5/16/2003;1.35%;1.43%;1,561.88;1,557.37;1,555.83
5/19/2003;1.34%;1.42%;1,563.98;1,559.47;1,557.93
5/20/2003;1.34%;1.42%;1,565.51;1,561.00;1,559.46
5/21/2003;1.32%;1.40%;1,568.18;1,563.66;1,562.12
5/22/2003;1.31%;1.39%;1,570.28;1,565.76;1,564.22
5/23/2003;1.29%;1.37%;1,572.95;1,568.43;1,566.88
5/26/2003;1.27%;1.35%;1,575.62;1,571.10;1,569.55
5/27/2003;1.26%;1.34%;1,577.73;1,573.20;1,571.65
5/28/2003;1.24%;1.32%;1,580.40;1,575.87;1,574.32
5/29/2003;1.23%;1.31%;1,582.51;1,577.98;1,576.43
5/30/2003;1.22%;1.30%;1,584.62;1,580.09;1,578.53
6/2/2003;1.21%;1.29%;1,586.73;1,582.20;1,580.64
6/3/2003;1.20%;1.28%;1,588.85;1,584.31;1,582.75
6/4/2003;1.18%;1.26%;1,591.53;1,586.99;1,585.43
6/5/2003;1.17%;1.25%;1,593.65;1,589.10;1,587.54
6/6/2003;1.16%;1.24%;1,595.76;1,591.22;1,589.66
6/9/2003;1.15%;1.23%;1,597.88;1,593.34;1,591.77
6/10/2003;1.13%;1.21%;1,600.57;1,596.02;1,594.46
6/11/2003;1.11%;1.19%;1,603.27;1,598.71;1,597.15
6/12/2003;1.10%;1.18%;1,605.39;1,600.84;1,599.27
6/13/2003;1.08%;1.16%;1,608.09;1,603.53;1,601.96
