Vencimento;01/04/2006;;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00;PU Extrato 9:00
02/01/2006;17,54%;17,57%;961,01;960,95;960,34
03/01/2006;17,52%;17,55%;961,67;961,61;960,99
04/01/2006;17,48%;17,51%;962,36;962,31;961,69
05/01/2006;17,48%;17,51%;962,98;962,92;962,31
06/01/2006;17,48%;17,51%;963,60;963,54;962,92
09/01/2006;17,47%;17,50%;964,23;964,17;963,56
10/01/2006;17,47%;17,50%;964,85;964,79;964,17
11/01/2006;17,40%;17,43%;965,59;965,54;964,92
12/01/2006;17,39%;17,42%;966,22;966,17;965,55
13/01/2006;17,36%;17,39%;966,89;966,84;966,22
16/01/2006;17,35%;17,38%;967,52;967,47;966,85
17/01/2006;17,32%;17,35%;968,18;968,13;967,52
18/01/2006;17,28%;17,31%;968,86;968,81;968,20
19/01/2006;17,12%;17,15%;969,73;969,69;969,08
20/01/2006;17,13%;17,16%;970,33;970,28;969,67
23/01/2006;17,12%;17,15%;970,95;970,91;970,30
24/01/2006;17,12%;17,15%;971,56;971,52;970,91
25/01/2006;17,11%;17,14%;972,18;972,14;971,53
26/01/2006;17,11%;17,14%;972,79;972,75;972,14
27/01/2006;17,11%;17,14%;973,40;973,36;972,75
30/01/2006;17,11%;17,14%;974,01;973,97;973,36
31/01/2006;17,10%;17,13%;974,64;974,60;973,99
01/02/2006;17,08%;17,11%;975,28;975,24;974,63
02/02/2006;17,07%;17,10%;975,90;975,86;975,25
03/02/2006;17,06%;17,09%;976,52;976,48;975,87
06/02/2006;17,05%;17,08%;977,15;977,11;976,50
07/02/2006;17,03%;17,06%;977,78;977,74;977,13
08/02/2006;17,04%;17,07%;978,38;978,34;977,73
09/02/2006;17,02%;17,05%;979,01;978,98;978,37
10/02/2006;17,03%;17,06%;979,61;979,58;978,97
13/02/2006;17,00%;17,03%;980,26;980,22;979,61
14/02/2006;16,98%;17,01%;980,89;980,86;980,24
15/02/2006;16,96%;16,99%;981,52;981,49;980,88
16/02/2006;16,93%;16,96%;982,16;982,13;981,52
17/02/2006;16,92%;16,95%;982,78;982,75;982,14
20/02/2006;16,87%;16,90%;983,43;983,40;982,79
21/02/2006;16,84%;16,87%;984,07;984,04;983,43
22/02/2006;16,81%;16,84%;984,70;984,67;984,07
23/02/2006;16,81%;16,84%;985,31;985,28;984,67
24/02/2006;16,80%;16,83%;985,92;985,90;985,29
01/03/2006;16,77%;16,80%;986,55;986,53;985,92
02/03/2006;16,75%;16,78%;987,17;987,15;986,54
03/03/2006;16,71%;16,74%;987,81;987,79;987,18
06/03/2006;16,68%;16,71%;988,43;988,41;987,81
07/03/2006;16,65%;16,68%;989,05;989,04;988,43
08/03/2006;16,63%;16,66%;989,67;989,65;989,05
09/03/2006;16,58%;16,61%;990,30;990,29;989,68
10/03/2006;16,59%;16,62%;990,90;990,88;990,28
13/03/2006;16,60%;16,63%;991,50;991,48;990,88
14/03/2006;16,59%;16,62%;992,11;992,09;991,49
15/03/2006;16,58%;16,61%;992,72;992,70;992,10
16/03/2006;16,57%;16,60%;993,32;993,31;992,71
17/03/2006;16,57%;16,60%;993,93;993,92;993,31
20/03/2006;16,55%;16,58%;994,54;994,53;993,93
21/03/2006;16,55%;16,58%;995,14;995,14;994,53
22/03/2006;16,55%;16,58%;995,75;995,74;995,14
23/03/2006;16,56%;16,59%;996,35;996,35;995,74
24/03/2006;16,56%;16,59%;996,96;996,95;996,35
27/03/2006;16,55%;16,58%;997,57;997,56;996,96
28/03/2006;16,58%;16,61%;998,17;998,17;997,56
29/03/2006;16,57%;16,60%;998,78;998,78;998,17
30/03/2006;16,57%;16,60%;999,39;999,39;998,78
31/03/2006;16,57%;16,60%;1.000,00;1.000,00;999,39
03/04/2006;;;;;
04/04/2006;;;;;
05/04/2006;;;;;
06/04/2006;;;;;
07/04/2006;;;;;
10/04/2006;;;;;
11/04/2006;;;;;
12/04/2006;;;;;
13/04/2006;;;;;
17/04/2006;;;;;
18/04/2006;;;;;
19/04/2006;;;;;
20/04/2006;;;;;
24/04/2006;;;;;
25/04/2006;;;;;
26/04/2006;;;;;
27/04/2006;;;;;
28/04/2006;;;;;
02/05/2006;;;;;
03/05/2006;;;;;
