Vencimento;07/01/2004;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00
02/01/2002;;;;
03/01/2002;;;;
04/01/2002;;;;
07/01/2002;;;;
08/01/2002;;;;
09/01/2002;;;;
10/01/2002;;;;
11/01/2002;;;;
14/01/2002;;;;
15/01/2002;;;;
16/01/2002;;;;
17/01/2002;;;;
18/01/2002;;;;
21/01/2002;;;;
22/01/2002;;;;
23/01/2002;;;;
24/01/2002;;;;
25/01/2002;;;;
28/01/2002;;;;
29/01/2002;;;;
30/01/2002;;;;
31/01/2002;;;;
01/02/2002;;;;
04/02/2002;;;;
05/02/2002;;;;
06/02/2002;;;;
07/02/2002;;;;
08/02/2002;;;;
13/02/2002;;;;
14/02/2002;;;;
15/02/2002;;;;
18/02/2002;;;;
19/02/2002;;;;
20/02/2002;;;;
21/02/2002;;;;
22/02/2002;;;;
25/02/2002;;;;
26/02/2002;;;;
27/02/2002;;;;
28/02/2002;;;;
01/03/2002;;;;
04/03/2002;;;;
05/03/2002;;;;
06/03/2002;;;;
07/03/2002;;;;
08/03/2002;;;;
11/03/2002;;;;
12/03/2002;;;;
13/03/2002;;;;
14/03/2002;;;;
15/03/2002;;;;
18/03/2002;19,77%;19,87%;720,96;719,87
19/03/2002;19,75%;19,85%;721,70;720,61
20/03/2002;19,67%;19,77%;723,09;722,00
21/03/2002;20,05%;20,15%;719,48;718,40
22/03/2002;19,83%;19,93%;722,38;721,30
25/03/2002;19,96%;20,06%;721,49;720,42
26/03/2002;19,84%;19,94%;723,31;722,23
27/03/2002;19,82%;19,92%;724,05;722,97
28/03/2002;19,66%;19,76%;726,29;725,21
01/04/2002;19,54%;19,64%;728,11;727,03
02/04/2002;19,55%;19,65%;728,52;727,44
03/04/2002;19,44%;19,54%;730,22;729,14
04/04/2002;19,53%;19,63%;729,76;728,69
05/04/2002;19,55%;19,65%;730,07;728,99
08/04/2002;19,52%;19,62%;730,91;729,83
09/04/2002;19,66%;19,76%;729,92;728,85
10/04/2002;19,66%;19,76%;730,44;729,38
11/04/2002;19,69%;19,79%;730,64;729,58
12/04/2002;19,67%;19,77%;731,38;730,31
15/04/2002;19,57%;19,67%;732,96;731,90
16/04/2002;19,74%;19,84%;731,68;730,62
17/04/2002;19,74%;19,84%;732,20;731,14
18/04/2002;19,88%;19,98%;731,25;730,20
19/04/2002;20,50%;20,60%;725,30;724,27
22/04/2002;20,57%;20,67%;725,12;724,08
23/04/2002;21,40%;21,50%;717,17;716,16
24/04/2002;21,46%;21,56%;717,12;716,11
25/04/2002;21,32%;21,42%;719,08;718,07
26/04/2002;21,58%;21,68%;717,02;716,01
29/04/2002;21,76%;21,86%;715,77;714,77
30/04/2002;21,82%;21,92%;715,73;714,74
02/05/2002;21,78%;21,88%;716,69;715,70
03/05/2002;22,17%;22,27%;713,40;712,41
06/05/2002;22,16%;22,26%;714,06;713,08
07/05/2002;22,10%;22,20%;715,22;714,24
08/05/2002;22,12%;22,22%;715,59;714,61
09/05/2002;22,30%;22,40%;714,40;713,42
10/05/2002;23,01%;23,11%;708,10;707,14
13/05/2002;23,41%;23,51%;704,87;703,92
14/05/2002;24,03%;24,13%;699,62;698,68
15/05/2002;23,97%;24,07%;700,78;699,84
16/05/2002;23,89%;23,99%;702,12;701,19
17/05/2002;23,39%;23,49%;707,42;706,47
20/05/2002;23,31%;23,41%;708,76;707,82
21/05/2002;23,02%;23,12%;712,09;711,15
22/05/2002;23,20%;23,30%;710,98;710,03
23/05/2002;23,69%;23,79%;706,97;706,04
24/05/2002;23,47%;23,57%;709,62;708,69
27/05/2002;23,28%;23,38%;711,99;711,06
28/05/2002;23,20%;23,30%;713,34;712,40
29/05/2002;23,05%;23,15%;715,33;714,39
31/05/2002;23,01%;23,11%;716,30;715,36
03/06/2002;22,93%;23,03%;717,64;716,70
04/06/2002;22,95%;23,05%;718,04;717,10
05/06/2002;24,57%;24,67%;703,74;702,84
06/06/2002;24,28%;24,38%;706,98;706,07
07/06/2002;25,29%;25,39%;698,53;697,64
10/06/2002;25,49%;25,59%;697,39;696,51
11/06/2002;24,99%;25,09%;702,44;701,55
12/06/2002;26,87%;26,97%;686,68;685,83
13/06/2002;30,00%;30,10%;661,44;660,64
14/06/2002;30,51%;30,61%;658,07;657,28
17/06/2002;31,36%;31,46%;652,09;651,32
18/06/2002;30,42%;30,52%;660,17;659,38
19/06/2002;30,67%;30,77%;658,90;658,11
20/06/2002;32,40%;32,50%;646,24;645,48
21/06/2002;32,89%;32,99%;643,26;642,51
24/06/2002;34,89%;34,99%;629,27;628,55
25/06/2002;33,64%;33,74%;639,14;638,40
26/06/2002;33,16%;33,26%;643,43;642,69
27/06/2002;33,53%;33,63%;641,42;640,68
28/06/2002;31,09%;31,19%;660,56;659,79
01/07/2002;30,07%;30,17%;669,21;668,42
02/07/2002;32,41%;32,51%;651,95;651,20
03/07/2002;33,28%;33,38%;646,21;645,47
04/07/2002;31,38%;31,48%;661,18;660,42
05/07/2002;31,43%;31,53%;661,52;660,76
08/07/2002;31,46%;31,56%;662,01;661,25
09/07/2002;30,47%;30,57%;670,30;669,53
10/07/2002;30,47%;30,57%;671,01;670,24
11/07/2002;30,17%;30,27%;674,04;673,26
12/07/2002;29,87%;29,97%;677,07;676,29
15/07/2002;29,29%;29,39%;682,30;681,52
16/07/2002;29,90%;30,00%;678,24;677,47
17/07/2002;30,49%;30,59%;674,41;673,65
18/07/2002;30,42%;30,52%;675,66;674,89
19/07/2002;29,47%;29,57%;683,69;682,91
22/07/2002;29,08%;29,18%;687,43;686,65
23/07/2002;30,37%;30,47%;678,18;677,42
24/07/2002;31,40%;31,50%;671,13;670,39
25/07/2002;31,17%;31,27%;673,58;672,83
26/07/2002;31,21%;31,31%;674,01;673,26
29/07/2002;32,00%;32,10%;668,89;668,16
30/07/2002;34,18%;34,28%;653,97;653,27
31/07/2002;32,69%;32,79%;665,33;664,61
01/08/2002;32,78%;32,88%;665,45;664,73
02/08/2002;32,68%;32,78%;666,92;666,20
05/08/2002;31,29%;31,39%;677,79;677,05
06/08/2002;32,06%;32,16%;672,89;672,17
07/08/2002;31,87%;31,97%;675,01;674,29
08/08/2002;30,69%;30,79%;684,42;683,67
09/08/2002;29,23%;29,33%;696,10;695,34
12/08/2002;30,71%;30,81%;685,72;684,99
13/08/2002;30,92%;31,02%;684,91;684,17
14/08/2002;30,33%;30,43%;689,99;689,25
15/08/2002;29,80%;29,90%;694,66;693,91
16/08/2002;30,04%;30,14%;693,59;692,85
