02/01/2012;5,55%;5,65%;598,37;585,33;585,10
03/01/2012;5,51%;5,61%;603,91;590,74;590,51
04/01/2012;5,49%;5,59%;606,81;593,58;593,35
05/01/2012;5,57%;5,67%;596,43;583,43;583,21
06/01/2012;5,53%;5,63%;602,01;588,88;588,47
09/01/2012;5,52%;5,62%;603,56;590,41;590,18
10/01/2012;5,55%;5,65%;599,81;586,74;586,52
11/01/2012;5,53%;5,63%;602,68;589,55;589,33
12/01/2012;5,53%;5,63%;602,91;589,78;589,55
13/01/2012;5,54%;5,64%;602,02;588,91;588,48
16/01/2012;5,53%;5,63%;603,59;590,44;590,21
17/01/2012;5,51%;5,61%;606,50;593,29;593,05
18/01/2012;5,53%;5,63%;604,07;590,93;590,69
19/01/2012;5,50%;5,60%;608,32;595,08;594,84
20/01/2012;5,49%;5,59%;610,14;596,86;596,39
23/01/2012;5,43%;5,53%;618,50;605,04;604,79
24/01/2012;5,46%;5,56%;614,68;601,30;601,06
25/01/2012;5,46%;5,56%;614,88;601,50;601,26
26/01/2012;5,46%;5,56%;615,12;601,74;601,50
27/01/2012;5,45%;5,55%;616,95;603,53;603,06
30/01/2012;5,45%;5,55%;617,19;603,76;603,53
31/01/2012;5,47%;5,57%;614,72;601,35;601,12
01/02/2012;5,52%;5,62%;608,24;595,02;594,79
02/02/2012;5,54%;5,64%;605,81;592,65;592,42
03/02/2012;5,61%;5,71%;597,03;584,07;583,62
06/02/2012;5,61%;5,71%;597,27;584,31;584,07
07/02/2012;5,62%;5,72%;596,20;583,26;583,03
08/02/2012;5,60%;5,70%;599,06;586,06;585,82
09/02/2012;5,57%;5,67%;603,26;590,17;589,93
10/02/2012;5,53%;5,63%;608,98;595,77;595,32
13/02/2012;5,50%;5,60%;613,25;599,94;599,70
14/02/2012;5,48%;5,58%;616,19;602,81;602,58
15/02/2012;5,44%;5,54%;621,86;608,36;608,13
16/02/2012;5,44%;5,54%;622,10;608,59;608,36
17/02/2012;5,40%;5,50%;628,25;614,61;613,96
22/02/2012;5,37%;5,47%;632,57;618,83;618,61
23/02/2012;5,36%;5,46%;634,19;620,42;620,19
24/02/2012;5,36%;5,46%;634,62;620,84;620,42
27/02/2012;5,39%;5,49%;630,68;616,99;616,77
28/02/2012;5,41%;5,51%;628,14;614,52;614,29
29/02/2012;5,38%;5,48%;632,52;618,80;618,57
01/03/2012;5,38%;5,48%;632,75;619,03;618,80
02/03/2012;5,40%;5,50%;630,41;616,74;616,32
05/03/2012;5,40%;5,50%;630,64;616,96;616,74
06/03/2012;5,38%;5,48%;633,64;619,90;619,67
07/03/2012;5,37%;5,47%;635,26;621,49;621,26
08/03/2012;5,36%;5,46%;636,88;623,08;622,85
09/03/2012;5,30%;5,40%;645,75;631,75;631,32
12/03/2012;5,32%;5,42%;643,16;629,22;628,99
13/03/2012;5,26%;5,36%;651,91;637,77;637,54
14/03/2012;5,28%;5,38%;649,29;635,22;634,99
15/03/2012;5,32%;5,42%;643,85;629,90;629,67
16/03/2012;5,26%;5,36%;652,79;638,64;638,23
19/03/2012;5,26%;5,36%;653,01;638,86;638,64
20/03/2012;5,30%;5,40%;647,54;633,52;633,29
21/03/2012;5,30%;5,40%;647,77;633,74;633,52
22/03/2012;5,29%;5,39%;649,41;635,35;635,13
23/03/2012;5,29%;5,39%;649,65;635,58;635,22
26/03/2012;5,28%;5,38%;651,28;637,18;636,97
27/03/2012;5,29%;5,39%;650,07;636,00;635,79
28/03/2012;5,26%;5,36%;654,56;640,39;640,19
29/03/2012;5,24%;5,34%;657,65;643,41;643,20
30/03/2012;5,24%;5,34%;658,01;643,77;643,41
02/04/2012;5,25%;5,35%;656,79;642,58;642,37
03/04/2012;5,27%;5,37%;654,13;639,98;639,78
04/04/2012;5,31%;5,41%;648,64;634,62;634,41
05/04/2012;5,32%;5,42%;646,84;632,86;632,55
09/04/2012;5,31%;5,41%;648,43;634,42;634,24
10/04/2012;5,27%;5,37%;654,30;640,16;639,98
11/04/2012;5,18%;5,28%;667,49;653,05;652,87
12/04/2012;5,14%;5,24%;673,53;658,96;658,79
13/04/2012;5,11%;5,21%;678,32;663,64;663,30
16/04/2012;5,09%;5,19%;681,55;666,81;666,55
17/04/2012;5,07%;5,17%;684,80;669,99;669,73
18/04/2012;5,04%;5,14%;689,57;674,65;674,39
19/04/2012;5,02%;5,12%;692,86;677,87;677,61
20/04/2012;4,94%;5,04%;705,62;690,35;689,83
23/04/2012;4,92%;5,02%;708,99;693,64;693,37
24/04/2012;4,91%;5,01%;710,81;695,42;695,16
25/04/2012;4,83%;4,93%;723,77;708,09;707,82
26/04/2012;4,78%;4,88%;732,03;716,16;715,89
27/04/2012;4,77%;4,87%;734,21;718,30;717,73
30/04/2012;4,76%;4,86%;736,25;720,30;719,87
02/05/2012;4,79%;4,89%;731,71;715,86;715,58
03/05/2012;4,66%;4,76%;753,14;736,81;736,53
04/05/2012;4,65%;4,75%;755,38;739,01;738,43
07/05/2012;4,42%;4,52%;794,79;777,53;777,23
08/05/2012;4,17%;4,27%;840,02;821,74;821,44
09/05/2012;4,31%;4,41%;815,11;797,39;797,09
10/05/2012;4,57%;4,67%;770,18;753,48;753,19
11/05/2012;4,30%;4,40%;817,87;800,10;799,45
14/05/2012;4,40%;4,50%;800,41;783,03;782,73
15/05/2012;4,40%;4,50%;800,66;783,29;783,03
16/05/2012;4,39%;4,49%;802,68;785,26;785,01
17/05/2012;4,37%;4,47%;806,46;788,96;788,71
18/05/2012;4,27%;4,37%;824,87;806,96;806,46
21/05/2012;4,21%;4,31%;836,08;817,92;817,66
22/05/2012;4,28%;4,38%;823,58;805,70;805,45
23/05/2012;4,56%;4,66%;774,70;757,93;757,69
24/05/2012;4,48%;4,58%;788,64;771,56;771,31
25/05/2012;4,59%;4,69%;770,32;753,65;753,21
28/05/2012;4,51%;4,61%;784,17;767,20;766,95
29/05/2012;4,46%;4,56%;793,05;775,88;775,63
30/05/2012;4,44%;4,54%;796,77;779,52;779,28
31/05/2012;4,48%;4,58%;790,07;772,97;772,73
01/06/2012;4,50%;4,60%;787,08;770,05;769,60
04/06/2012;4,64%;4,74%;763,59;747,09;746,86
05/06/2012;4,85%;4,95%;729,62;713,89;713,65
06/06/2012;4,91%;5,01%;720,14;704,63;704,32
08/06/2012;4,83%;4,93%;733,19;717,39;717,00
11/06/2012;4,69%;4,79%;756,15;739,84;739,61
12/06/2012;4,85%;4,95%;730,45;714,71;714,49
13/06/2012;4,85%;4,95%;730,67;714,93;714,71
14/06/2012;4,84%;4,94%;732,48;716,71;716,49
15/06/2012;4,82%;4,92%;735,97;720,12;719,84
18/06/2012;4,96%;5,06%;714,06;698,71;698,53
19/06/2012;4,96%;5,06%;714,25;698,89;698,71
