02/01/2015;6,21%;6,25%;1.932,88;1.929,73;1.927,80
05/01/2015;6,21%;6,25%;1.933,83;1.930,69;1.929,73
06/01/2015;6,13%;6,17%;1.941,09;1.937,93;1.936,98
07/01/2015;6,03%;6,07%;1.949,95;1.946,78;1.945,84
08/01/2015;6,04%;6,08%;1.950,11;1.946,94;1.945,99
09/01/2015;6,01%;6,05%;1.954,25;1.951,08;1.949,16
12/01/2015;5,91%;5,95%;1.963,15;1.959,96;1.959,02
13/01/2015;5,99%;6,03%;1.957,73;1.954,55;1.953,61
14/01/2015;5,86%;5,90%;1.969,02;1.965,82;1.964,89
15/01/2015;5,84%;5,88%;1.971,78;1.968,59;1.967,42
16/01/2015;5,77%;5,81%;1.979,99;1.976,79;1.974,18
19/01/2015;5,70%;5,74%;1.986,78;1.983,57;1.982,40
20/01/2015;5,74%;5,78%;1.984,73;1.981,52;1.980,36
21/01/2015;5,66%;5,70%;1.992,33;1.989,11;1.987,95
22/01/2015;5,67%;5,71%;1.992,69;1.989,47;1.988,31
23/01/2015;5,80%;5,84%;1.984,88;1.981,68;1.979,06
26/01/2015;5,76%;5,80%;1.990,01;1.986,81;1.985,57
27/01/2015;5,81%;5,85%;1.987,24;1.984,05;1.982,81
28/01/2015;5,83%;5,87%;1.986,88;1.983,69;1.982,45
29/01/2015;5,87%;5,91%;1.984,92;1.981,74;1.980,50
30/01/2015;5,76%;5,80%;1.996,54;1.993,33;1.990,51
02/02/2015;5,78%;5,82%;1.996,17;1.992,97;1.991,74
03/02/2015;5,85%;5,89%;1.991,82;1.988,63;1.987,39
04/02/2015;5,80%;5,84%;1.997,05;1.993,86;1.992,62
05/02/2015;5,84%;5,88%;1.995,10;1.991,91;1.990,67
06/02/2015;5,82%;5,86%;1.999,53;1.996,34;1.993,51
09/02/2015;5,82%;5,86%;2.000,77;1.997,58;1.996,34
10/02/2015;5,92%;5,96%;1.994,06;1.990,88;1.989,64
11/02/2015;6,11%;6,15%;1.980,29;1.977,15;1.975,89
12/02/2015;6,32%;6,36%;1.965,12;1.962,01;1.960,75
13/02/2015;6,23%;6,27%;1.976,35;1.973,22;1.969,01
18/02/2015;6,23%;6,27%;1.977,54;1.974,42;1.973,22
19/02/2015;6,26%;6,30%;1.976,40;1.973,28;1.972,08
20/02/2015;6,24%;6,28%;1.980,61;1.977,48;1.974,84
23/02/2015;6,30%;6,34%;1.977,13;1.974,01;1.972,81
24/02/2015;6,29%;6,33%;1.979,11;1.975,99;1.974,79
25/02/2015;6,26%;6,30%;1.983,04;1.979,92;1.978,68
26/02/2015;6,22%;6,26%;1.987,40;1.984,28;1.983,04
27/02/2015;6,18%;6,22%;1.993,30;1.990,17;1.987,40
02/03/2015;5,92%;5,96%;2.015,04;2.011,87;2.010,63
03/03/2015;5,98%;6,02%;2.011,52;2.008,36;2.007,12
04/03/2015;6,10%;6,14%;2.003,30;2.000,15;1.998,91
05/03/2015;6,09%;6,13%;2.005,32;2.002,18;2.000,94
06/03/2015;6,18%;6,22%;2.003,22;2.000,08;1.997,01
09/03/2015;6,35%;6,39%;1.991,29;1.988,19;1.986,84
10/03/2015;6,41%;6,45%;1.987,99;1.984,89;1.983,54
11/03/2015;6,40%;6,44%;1.990,11;1.987,02;1.985,66
12/03/2015;6,34%;6,38%;1.996,12;1.993,02;1.991,66
13/03/2015;6,46%;6,50%;1.989,92;1.986,84;1.983,74
16/03/2015;6,34%;6,38%;2.000,61;1.997,50;1.996,12
17/03/2015;6,33%;6,37%;2.002,76;1.999,65;1.998,27
18/03/2015;6,21%;6,25%;2.013,49;2.010,37;2.008,99
19/03/2015;6,17%;6,21%;2.018,00;2.014,87;2.013,49
20/03/2015;6,32%;6,36%;2.009,47;2.006,36;2.003,19
23/03/2015;6,29%;6,33%;2.013,30;2.010,19;2.008,79
24/03/2015;6,27%;6,31%;2.016,26;2.013,15;2.011,75
25/03/2015;6,30%;6,34%;2.015,32;2.012,21;2.010,81
26/03/2015;6,30%;6,34%;2.016,72;2.013,61;2.012,21
27/03/2015;6,35%;6,39%;2.016,06;2.012,95;2.009,74
30/03/2015;6,40%;6,44%;2.013,59;2.010,49;2.009,09
31/03/2015;6,40%;6,44%;2.014,99;2.011,90;2.010,49
01/04/2015;6,40%;6,44%;2.016,40;2.013,30;2.011,90
02/04/2015;6,30%;6,34%;2.028,31;2.025,20;2.021,05
06/04/2015;6,32%;6,36%;2.028,16;2.025,05;2.023,64
07/04/2015;6,34%;6,38%;2.028,01;2.024,91;2.023,50
08/04/2015;6,37%;6,41%;2.025,65;2.022,55;2.021,20
09/04/2015;6,27%;6,31%;2.034,76;2.031,66;2.030,30
10/04/2015;6,36%;6,40%;2.030,85;2.027,75;2.024,68
13/04/2015;6,31%;6,35%;2.036,09;2.032,98;2.031,62
14/04/2015;6,35%;6,39%;2.034,34;2.031,24;2.029,88
15/04/2015;6,31%;6,35%;2.038,38;2.035,28;2.034,34
16/04/2015;6,27%;6,31%;2.042,43;2.039,33;2.038,38
17/04/2015;6,27%;6,31%;2.044,27;2.041,16;2.039,33
20/04/2015;6,34%;6,38%;2.040,61;2.037,51;2.036,01
22/04/2015;6,62%;6,66%;2.020,08;2.017,03;2.016,01
23/04/2015;6,63%;6,67%;2.020,33;2.017,28;2.016,26
24/04/2015;6,65%;6,69%;2.020,81;2.017,76;2.015,75
27/04/2015;6,70%;6,74%;2.018,01;2.014,97;2.013,96
28/04/2015;6,56%;6,60%;2.029,70;2.026,65;2.025,63
29/04/2015;6,52%;6,56%;2.033,77;2.030,71;2.029,70
30/04/2015;6,45%;6,49%;2.041,66;2.038,58;2.036,07
04/05/2015;6,67%;6,71%;2.025,85;2.022,81;2.021,79
05/05/2015;6,70%;6,74%;2.024,59;2.021,55;2.020,53
06/05/2015;6,66%;6,70%;2.028,64;2.025,60;2.024,59
07/05/2015;6,65%;6,69%;2.030,42;2.027,38;2.026,37
08/05/2015;6,68%;6,72%;2.029,63;2.026,60;2.024,65
11/05/2015;6,60%;6,64%;2.036,71;2.033,67;2.032,67
12/05/2015;6,66%;6,70%;2.033,15;2.030,12;2.029,12
13/05/2015;6,70%;6,74%;2.031,12;2.028,10;2.027,09
14/05/2015;6,68%;6,72%;2.033,64;2.030,61;2.029,61
15/05/2015;6,45%;6,49%;2.052,73;2.049,67;2.048,09
18/05/2015;6,33%;6,37%;2.062,79;2.059,72;2.058,86
19/05/2015;6,50%;6,54%;2.050,64;2.047,59;2.046,72
20/05/2015;6,57%;6,61%;2.046,18;2.043,15;2.042,27
21/05/2015;6,45%;6,49%;2.056,19;2.053,14;2.052,27
22/05/2015;6,44%;6,48%;2.058,54;2.055,49;2.053,90
25/05/2015;6,43%;6,47%;2.060,31;2.057,26;2.056,38
26/05/2015;6,41%;6,45%;2.062,72;2.059,67;2.058,79
27/05/2015;6,35%;6,39%;2.068,19;2.065,13;2.064,25
28/05/2015;6,41%;6,45%;2.064,48;2.061,43;2.060,55
29/05/2015;6,36%;6,40%;2.069,93;2.066,87;2.065,25
01/06/2015;6,45%;6,49%;2.063,94;2.060,90;2.060,02
02/06/2015;6,47%;6,51%;2.063,31;2.060,27;2.059,38
03/06/2015;6,56%;6,60%;2.057,74;2.054,72;2.053,46
05/06/2015;6,61%;6,65%;2.055,60;2.052,58;2.050,95
08/06/2015;6,61%;6,65%;2.056,49;2.053,48;2.052,58
09/06/2015;6,51%;6,55%;2.064,94;2.061,91;2.061,02
10/06/2015;6,51%;6,55%;2.069,05;2.066,02;2.065,01
11/06/2015;6,64%;6,68%;2.060,24;2.057,23;2.056,21
12/06/2015;6,67%;6,71%;2.059,98;2.056,97;2.054,98
15/06/2015;6,64%;6,68%;2.063,19;2.060,19;2.059,22
16/06/2015;6,71%;6,75%;2.058,89;2.055,90;2.054,94
17/06/2015;6,69%;6,73%;2.061,36;2.058,36;2.057,40
18/06/2015;6,63%;6,67%;2.066,82;2.063,82;2.062,86
19/06/2015;6,62%;6,66%;2.069,40;2.066,39;2.064,57
22/06/2015;6,57%;6,61%;2.075,05;2.072,04;2.070,96
23/06/2015;6,51%;6,55%;2.080,65;2.077,63;2.076,56
24/06/2015;6,46%;6,50%;2.085,50;2.082,48;2.081,40
25/06/2015;6,50%;6,54%;2.083,55;2.080,54;2.079,46
26/06/2015;6,61%;6,65%;2.077,46;2.074,45;2.072,27
29/06/2015;6,62%;6,66%;2.077,78;2.074,79;2.073,70
30/06/2015;6,69%;6,73%;2.073,62;2.070,64;2.069,55
01/07/2015;6,72%;6,76%;2.072,47;2.069,49;2.068,40
02/07/2015;6,81%;6,85%;2.066,86;2.063,89;2.062,80
03/07/2015;6,67%;6,71%;2.079,48;2.076,49;2.074,30
06/07/2015;6,57%;6,61%;2.088,05;2.085,05;2.083,97
07/07/2015;6,58%;6,62%;2.088,38;2.085,39;2.084,30
08/07/2015;6,55%;6,59%;2.092,62;2.089,62;2.087,47
09/07/2015;6,56%;6,60%;2.091,87;2.088,88;2.087,80
10/07/2015;6,56%;6,60%;2.094,05;2.091,05;2.088,88
